ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2014-04-20T05:00:00+02:00;100560.0;-150.0;8.0;150.0;0.5;282.25;277.25;71.0;12000.0;2.0;1.0;1.0;90.0;7.0;1250.0;35.0;61.0;60.0;99480.0;;;;;;;;;;;;1.0;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1101.0;3100.0;;4.0;6.0;1380.0;7.0;6.0;1800.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2010
7149;2014-04-22T08:00:00+02:00;100920.0;140.0;3.0;190.0;1.5;284.15;281.85;86.0;16000.0;2.0;1.0;1.0;90.0;4.0;800.0;35.0;23.0;60.0;99840.0;;;;282.95;;286.55;;279.15;;;;2.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.4;710.0;1103.0;3100.0;;1.0;6.0;780.0;4.0;6.0;1800.0;7.0;3.0;3000.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2011
7149;2014-04-01T20:00:00+02:00;100810.0;-70.0;6.0;90.0;2.6;291.55;280.65;49.0;30000.0;2.0;1.0;1.0;90.0;0.0;8000.0;30.0;20.0;11.0;99760.0;;;;280.45;;293.55;;;;;;3.6;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1104.0;3100.0;;7.0;0.0;6900.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,2012
7149;2014-04-02T05:00:00+02:00;100660.0;-130.0;6.0;170.0;0.5;282.75;279.65;81.0;12000.0;2.0;1.0;1.0;40.0;0.0;8000.0;30.0;20.0;11.0;99580.0;;;;;;;;;;;;1.5;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1102.0;3100.0;;3.0;0.0;6900.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,2013
7149;2014-04-28T05:00:00+02:00;100790.0;0.0;5.0;150.0;2.1;281.15;279.95;92.0;20000.0;2.0;1.0;1.0;90.0;7.0;150.0;35.0;61.0;60.0;99700.0;;;;;;;;;;;;4.1;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1104.0;3100.0;;1.0;7.0;180.0;5.0;7.0;210.0;6.0;6.0;420.0;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,2014
7149;2014-05-16T02:00:00+02:00;103370.0;-50.0;8.0;40.0;3.1;281.55;276.35;70.0;25000.0;2.0;1.0;1.0;0.0;;;;;;102250.0;;;;;;;;;;;;4.6;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1105.0;3100.0;;;;;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2015
7149;2014-05-08T17:00:00+02:00;101480.0;-150.0;8.0;220.0;5.1;286.45;284.85;90.0;7000.0;60.0;6.0;6.0;100.0;7.0;250.0;35.0;61.0;60.0;100400.0;;;;;;;;;;;;10.8;-10.0;;;0.0;-30.0;0.4;3.0;;;;710.0;1111.0;3100.0;;3.0;7.0;270.0;5.0;6.0;570.0;7.0;6.0;1380.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,2016
7149;2014-05-06T20:00:00+02:00;100890.0;-50.0;6.0;220.0;7.7;292.25;282.75;54.0;30000.0;1.0;8.0;6.0;75.0;5.0;1250.0;32.0;23.0;10.0;99840.0;;;;285.65;;294.15;;;;;;12.3;-10.0;;;0.0;-60.0;0.0;0.0;;0.4;;710.0;1112.0;3100.0;;5.0;8.0;1380.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,2017
7149;2014-05-19T23:00:00+02:00;100440.0;120.0;3.0;160.0;3.1;293.05;282.85;52.0;35000.0;2.0;1.0;1.0;40.0;0.0;8000.0;30.0;20.0;12.0;99400.0;;;;;;;;;;;;7.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1107.0;3100.0;;3.0;0.0;6600.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2018
7149;2014-05-24T17:00:00+02:00;101400.0;60.0;3.0;230.0;5.1;287.55;282.75;73.0;7000.0;81.0;8.0;6.0;90.0;7.0;800.0;39.0;61.0;60.0;100330.0;;;;;;;;;;;;12.3;-10.0;;;0.0;-30.0;0.6;0.6;;;;710.0;1112.0;3100.0;;2.0;9.0;600.0;4.0;8.0;900.0;7.0;6.0;1500.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2019
7149;2014-05-26T23:00:00+02:00;101460.0;70.0;1.0;300.0;2.6;287.15;284.35;83.0;30000.0;2.0;1.0;1.0;90.0;7.0;450.0;35.0;61.0;60.0;100390.0;;;;;;;;;;;;4.6;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1105.0;3100.0;;2.0;6.0;450.0;3.0;6.0;630.0;7.0;6.0;1800.0;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2020
7149;2014-05-29T05:00:00+02:00;101550.0;40.0;2.0;190.0;0.5;283.85;283.05;95.0;6000.0;11.0;1.0;1.0;75.0;6.0;80.0;35.0;20.0;10.0;100460.0;;;;;;;;;;;;2.6;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1103.0;3100.0;;2.0;7.0;60.0;3.0;6.0;990.0;5.0;6.0;1500.0;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel,ou moins,2021
7149;2014-06-06T08:00:00+02:00;101410.0;0.0;5.0;110.0;2.1;286.85;280.65;66.0;35000.0;2.0;1.0;1.0;25.0;0.0;8000.0;30.0;20.0;12.0;100330.0;;;;283.55;;291.65;;281.15;;;;3.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;;0.0;0.0;710.0;1103.0;3100.0;;2.0;0.0;7500.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,2022
7149;2014-06-08T11:00:00+02:00;101880.0;20.0;3.0;360.0;1.5;294.05;290.25;79.0;25000.0;3.0;8.0;6.0;75.0;1.0;450.0;31.0;28.0;10.0;100830.0;;;;;;;;;;;;4.6;-10.0;;;0.0;-30.0;0.0;0.2;;;;710.0;1105.0;3100.0;;1.0;8.0;480.0;6.0;3.0;3000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,2023
7149;2014-08-13T14:00:00+02:00;100810.0;150.0;1.0;280.0;7.2;292.85;284.35;58.0;25000.0;2.0;1.0;1.0;90.0;2.0;1250.0;32.0;23.0;11.0;99760.0;;;;;;;;;;;;11.3;-10.0;;;0.0;-60.0;0.0;0.0;0.0;;;710.0;1111.0;3100.0;;2.0;8.0;1080.0;5.0;0.0;7500.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2024
7149;2014-08-13T20:00:00+02:00;101060.0;150.0;1.0;240.0;4.1;290.35;285.85;75.0;25000.0;2.0;1.0;1.0;75.0;1.0;1750.0;32.0;23.0;10.0;100000.0;;;;287.35;;294.95;;;;;;7.7;-10.0;;;0.0;-60.0;0.0;0.0;;0.0;;710.0;1108.0;3100.0;;1.0;8.0;1500.0;6.0;3.0;2700.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,2025
