ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2019-10-19T14:00:00+02:00;100580.0;20.0;0.0;210.0;2.6;286.05;284.75;92.0;53480.0;0.0;6.0;6.0;90.0;6.0;450.0;;;;99510.0;;;-440.0;;;;;;;;4.2;5.6;-10.0;2.0;0.0;;;0.2;1.4;1.4;2.0;2.0;;;;;2.0;;330.0;6.0;;690.0;6.0;;2100.0;;8.0;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Pluie;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.900000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10,15010
7149;2019-10-29T07:00:00+01:00;102020.0;100.0;1.0;50.0;5.1;280.95;278.55;85.0;20000.0;60.0;6.0;2.0;100.0;7.0;1750.0;35.0;;;100920.0;;;-190.0;280.95;;283.15;;;;;7.2;9.5;-10.0;0.0;0.0;0.0;-60.0;-0.1;0.2;0.2;0.2;0.2;;;;;7.0;6.0;1730.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15011
7149;2019-10-11T14:00:00+02:00;101600.0;-160.0;8.0;220.0;6.2;290.35;284.85;70.0;30000.0;1.0;2.0;2.0;60.0;4.0;800.0;31.0;20.0;11.0;100540.0;;;-300.0;;;;;;;;12.0;12.2;-10.0;0.0;0.0;0.0;-60.0;0.0;-0.1;-0.1;-0.1;-0.1;;;;;4.0;8.0;750.0;2.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15012
7149;2019-10-02T23:00:00+02:00;102290.0;230.0;1.0;310.0;2.0;281.65;275.05;63.0;25000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;101180.0;;;1800.0;;;;;;;;3.6;5.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;1.2;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15013
7149;2019-12-30T04:00:00+01:00;103460.0;-50.0;6.0;360.0;0.6;272.25;271.25;93.0;10000.0;2.0;0.0;0.0;40.0;0.0;8000.0;30.0;20.0;11.0;102300.0;;;-280.0;;;;;;;;0.7;1.2;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,15014
7149;2019-12-30T10:00:00+01:00;103430.0;20.0;3.0;190.0;1.0;274.15;272.35;88.0;3690.0;1.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;11.0;102280.0;;;-280.0;;;;;;;;1.7;2.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15015
7149;2019-08-28T17:00:00+02:00;101490.0;-40.0;7.0;240.0;4.7;301.55;289.15;47.0;25000.0;2.0;2.0;2.0;75.0;1.0;1750.0;31.0;20.0;12.0;100470.0;;;190.0;;;;;;;;7.9;9.5;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;8.0;1560.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;28.400000000000038;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;8,"",15016
7149;2019-08-30T11:00:00+02:00;102420.0;10.0;0.0;90.0;3.0;294.85;283.35;48.0;19960.0;2.0;0.0;0.0;25.0;0.0;8000.0;30.0;20.0;11.0;101360.0;;;260.0;;;;;;;;5.0;5.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;21.700000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;8,15017
7149;2019-05-01T14:00:00+02:00;101710.0;-120.0;8.0;20.0;1.3;290.15;280.75;54.0;5560.0;0.0;0.0;0.0;;1.0;1250.0;;;;100640.0;;;-610.0;;;;;;;;3.3;4.8;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1170.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15018
7149;2019-05-04T02:00:00+02:00;101310.0;-90.0;7.0;260.0;2.5;280.35;278.45;88.0;20000.0;1.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100210.0;;;-180.0;;;;;;;;3.8;4.8;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;0.0;1.0;1.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble,nuages se dissipant ou devenant moins épais;7.2000000000000455;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5,15019
7149;2019-05-10T05:00:00+02:00;101000.0;100.0;3.0;240.0;0.9;282.75;281.05;89.0;20000.0;1.0;2.0;2.0;90.0;7.0;2250.0;35.0;;;99910.0;;;1780.0;;;;;;;;1.7;3.4;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;4.0;;;;;7.0;6.0;2050.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15020
7149;2019-08-01T08:00:00+02:00;101840.0;20.0;1.0;190.0;1.2;289.55;284.05;70.0;20000.0;3.0;0.0;0.0;25.0;2.0;3000.0;30.0;23.0;10.0;100770.0;;;-20.0;287.25;;296.65;;;;;1.9;2.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;3.0;3000.0;;;;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15021
7149;2019-07-05T20:00:00+02:00;101500.0;-120.0;6.0;60.0;2.4;302.85;282.35;28.0;35000.0;2.0;0.0;0.0;10.0;0.0;8000.0;30.0;20.0;11.0;100480.0;;;-410.0;292.75;;304.75;;;;;4.5;5.2;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,15022
7149;2019-07-09T08:00:00+02:00;102110.0;50.0;3.0;40.0;4.7;287.35;281.05;66.0;30000.0;3.0;2.0;2.0;75.0;0.0;8000.0;30.0;20.0;11.0;101030.0;;;210.0;285.35;;295.05;;;;;7.4;7.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15023
7149;2019-07-10T23:00:00+02:00;101640.0;-60.0;8.0;130.0;1.5;295.25;284.65;51.0;35000.0;2.0;2.0;2.0;90.0;0.0;8000.0;30.0;20.0;11.0;100590.0;;;-350.0;;;;;;;;2.4;3.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;7.0;0.0;8000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,15024
7149;2019-07-13T05:00:00+02:00;101870.0;10.0;3.0;280.0;1.9;289.45;285.45;77.0;30670.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100800.0;;;440.0;;;;;;;;3.0;4.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,15025
7149;2019-07-17T20:00:00+02:00;101260.0;-30.0;5.0;320.0;3.7;300.35;278.65;25.0;35000.0;3.0;2.0;2.0;90.0;1.0;2600.0;30.0;23.0;12.0;100230.0;;;-390.0;290.45;;303.05;;;;;6.3;7.5;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;2600.0;7.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,15026
7149;2019-07-20T02:00:00+02:00;101150.0;-110.0;6.0;200.0;0.9;293.85;285.55;59.0;25000.0;2.0;0.0;0.0;0.0;0.0;;30.0;20.0;10.0;100100.0;;;-400.0;;;;;;;;1.6;1.6;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,15027
7149;2019-07-21T11:00:00+02:00;102280.0;140.0;1.0;280.0;2.7;294.75;285.85;57.0;30000.0;2.0;2.0;2.0;75.0;2.0;1750.0;35.0;20.0;11.0;101230.0;;;1120.0;;;;;;;;5.3;6.8;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;-0.1;;;;;2.0;6.0;1500.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En hausse,puis stationnaire,15028
