ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige,glace,autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique.1;Temps passé 1.1;Temps présent.1;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee,index
7149;2022-05-15T08:00:00+02:00;101650.0;-30.0;5.0;70.0;3.1;289.35;282.25;63.0;30000.0;2.0;2.0;2.0;75.0;1.0;4200.0;30.0;28.0;12.0;100580.0;;;-660.0;286.45;;294.75;;;;;4.9;4.9;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3.0;4200.0;6.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis en hausse,24010
7149;2022-05-19T17:00:00+02:00;101950.0;-40.0;8.0;290.0;2.4;299.45;288.15;50.0;25000.0;3.0;2.0;2.0;75.0;1.0;1750.0;31.0;28.0;12.0;100920.0;;;130.0;;;;;;;;5.6;7.1;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8.0;1520.0;4.0;3.0;3000.0;4.0;0.0;8000.0;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,24011
7149;2022-05-23T14:00:00+02:00;100160.0;30.0;3.0;270.0;5.0;289.85;288.75;93.0;3560.0;10.0;6.0;6.0;100.0;8.0;450.0;;;;99110.0;;;-1110.0;;;;;;;;7.9;7.9;-10.0;;0.0;;;2.9;5.3;5.3;5.7;5.9;;;;;6.0;;300.0;6.0;;510.0;7.0;;690.0;;8.0;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24012
7149;2022-05-24T05:00:00+02:00;100700.0;60.0;3.0;240.0;4.4;284.45;282.85;90.0;41750.0;25.0;8.0;6.0;90.0;7.0;1750.0;35.0;;;99620.0;;;280.0;;;;;;;;6.9;8.4;-10.0;0.0;0.0;0.0;-30.0;-0.1;-0.1;0.2;0.4;7.1;;;;;5.0;6.0;1500.0;5.0;6.0;1900.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24013
7149;2022-05-26T08:00:00+02:00;102480.0;130.0;2.0;270.0;3.4;287.35;283.95;80.0;25000.0;2.0;2.0;2.0;90.0;7.0;450.0;38.0;;;101400.0;;;700.0;286.85;;291.25;;;;;4.7;7.1;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;1.0;8.0;560.0;7.0;6.0;1230.0;;;;;;;48.716833,2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;14.200000000000044;13.700000000000044;;18.100000000000023;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5,"",24014
7149;2022-05-30T14:00:00+02:00;101310.0;-50.0;6.0;360.0;2.5;289.65;276.65;42.0;32590.0;3.0;0.0;0.0;50.0;3.0;1750.0;32.0;20.0;11.0;100250.0;;;-300.0;;;;;;;;6.0;7.3;-10.0;0.0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;8.0;1560.0;1.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse,puis stationnaire,24015
7149;2022-06-01T05:00:00+02:00;101630.0;-30.0;8.0;270.0;1.0;280.55;278.65;88.0;28570.0;3.0;0.0;0.0;25.0;0.0;9000.0;30.0;20.0;11.0;100530.0;;;340.0;;;;;;;;1.4;2.0;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;9000.0;;;;;;;;;;48.716833,2.384333;ORLY;Stationnaire ou en hausse,puis en baisse,24016
7149;2022-06-02T23:00:00+02:00;101650.0;30.0;3.0;50.0;4.5;292.95;279.35;41.0;25000.0;1.0;0.0;0.0;25.0;1.0;2250.0;35.0;20.0;11.0;100590.0;;;-170.0;;;;;;;;6.6;6.9;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6.0;2200.0;2.0;0.0;8000.0;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24017
7149;2022-06-07T08:00:00+02:00;101560.0;20.0;3.0;230.0;4.6;289.05;288.05;94.0;20000.0;3.0;2.0;2.0;90.0;7.0;450.0;35.0;;;100490.0;;;-280.0;288.25;;293.35;;;;;7.7;8.0;-10.0;1.0;0.0;0.0;-60.0;0.0;0.2;0.2;0.2;0.2;;;;;2.0;6.0;330.0;5.0;6.0;360.0;6.0;6.0;700.0;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24018
7149;2022-06-10T05:00:00+02:00;102250.0;10.0;3.0;190.0;2.3;287.15;285.55;90.0;20000.0;1.0;0.0;0.0;25.0;0.0;7300.0;30.0;20.0;12.0;101170.0;;;680.0;;;;;;;;3.0;3.6;-10.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0.0;7300.0;;;;;;;;;;48.716833,2.384333;ORLY;En baisse ou stationnaire,puis en hausse,24019
